I,我,I am a student.,我是一名學生。
you,你；你們,You are my friend.,你是我的朋友。
he,他,He has a dog.,他有一隻狗。
she,她,She is my sister.,她是我姐姐。
it,牠；它,It is a cat.,牠是一隻貓。
we,我們,We like pizza.,我們喜歡披薩。
they,他們,They are in the park.,他們在公園裡。
boy,男孩,The boy is playing soccer.,那個男孩在踢足球。
girl,女孩,The girl is reading a book.,那個女孩在讀書。
baby,嬰兒,The baby is sleeping.,嬰兒正在睡覺。
a an,一個,I see a bird.,我看到一隻鳥。
the,這 那,The sun is bright.,太陽很耀眼。
this,這,This is my pen.,這是我的筆。
that,那,That is her bag.,那是她的包包。
these,這些,These are apples.,這些是蘋果。
those,那些,Those are my shoes.,那些是我的鞋子。
be,是；成為,Be kind to others.,對別人要友善。
do,助動詞,Do you like music?,你喜歡音樂嗎？
father,爸爸,My father is a doctor.,我爸爸是醫生。
mother,媽媽,My mother cooks dinner.,我媽媽煮晚餐。
英文,中文,英文句子,中文翻譯
son,兒子,My son plays basketball after school.,我兒子放學後會打籃球。
daughter,女兒,My daughter loves to draw.,我女兒喜歡畫畫。
grandmother,(外)祖母,My grandmother makes yummy cookies.,我的祖母會做美味的餅乾。
grandfather,(外)祖父,My grandfather tells funny stories.,我的祖父會講有趣的故事。
brother,哥哥；弟弟,My brother is playing video games.,我哥哥正在玩電動。
sister,姊姊；妹妹,My sister sings very well.,我姊姊唱歌很好聽。
zero,零,There are zero apples left.,一顆蘋果都不剩了。
one,一,I have one pencil in my bag.,我的書包裡有一支鉛筆。
two,二,She has two cats at home.,她家裡有兩隻貓。
three,三,We saw three birds in the tree.,我們看到樹上有三隻鳥。
four,四,Four chairs are around the table.,桌子旁有四張椅子。
five,五,I wake up at five o’clock.,我五點起床。
six,六,We go jogging at six in the morning.,我們早上六點去慢跑。
seven,七,The bus comes at seven.,公車七點來。
eight,八,My class starts at eight.,我的課八點開始。
nine,九,There are nine students in the group.,這組裡有九位學生。
ten,十,I ate ten grapes today.,我今天吃了十顆葡萄。
eleven,十一,The movie starts at eleven.,電影十一點開始。
twelve,十二,We eat lunch at twelve.,我們十二點吃午餐。
school,學校,I walk to school with my friends.,我跟朋友一起走路上學。
class,班級；課程,Our class is learning English.,我們班正在學英文。
student,學生,I am a student in grade 3.,我是三年級的學生。
teacher,老師,Our teacher is very kind.,我們的老師很親切。
friend,朋友,I play soccer with my friend.,我跟朋友一起踢足球。
book,書,I read a book before bed.,睡前我會讀一本書。
pen,筆,I write with a blue pen.,我用藍色的筆寫字。
pencil,鉛筆,My pencil is short now.,我的鉛筆現在變短了。
ruler,尺,I use a ruler to draw lines.,我用尺畫線。
eraser,橡皮擦,Can I borrow your eraser?,我可以借一下你的橡皮擦嗎？
marker,麥可筆,The marker is red and thick.,這支麥克筆又紅又粗。
box,盒子；箱子,Put your toys in the box.,把你的玩具放進盒子裡。
desk,書桌,My desk is near the window.,我的書桌靠窗。
table,桌子,We eat dinner at the table.,我們在桌子上吃晚餐。
chair,椅子,I sit on a soft chair.,我坐在一張軟椅子上。
pencil case,鉛筆盒,My pencil case has many colors.,我的鉛筆盒裡有很多顏色的文具。
map,地圖,We looked at the map of Taiwan.,我們看了台灣的地圖。
color,顏色,What is your favorite color?,你最喜歡的顏色是什麼？
red,紅色,She wore a red dress today.,她今天穿了紅色洋裝。
green,綠色,The frog is green and small.,那隻青蛙又綠又小。
blue,藍色,He has a blue backpack.,他有一個藍色的背包。
yellow,黃色,I have a yellow T-shirt.,我有一件黃色的T恤。
pink,粉紅色,She likes her pink shoes.,她喜歡她的粉紅色鞋子。
black,黑色,The cat is black and fluffy.,那隻貓是黑色的而且毛茸茸。
white,白色,My shoes are white and clean.,我的鞋子是白色的而且很乾淨。
face,臉,Wash your face every morning.,每天早上要洗臉。
eye,眼睛,I see with my eyes.,我用眼睛看東西。
nose,鼻子,His nose is small and cute.,他的鼻子又小又可愛。
ear,耳朵,"Cover your ears, it's loud!",摀住你的耳朵，好吵！
mouth,嘴巴,Don’t talk with your mouth full.,嘴巴有食物時不要說話。
head,頭,He hit his head on the door!,他撞到門了，頭好痛！
hair,頭髮,She brushes her long hair.,她梳她的長頭髮。
hand,手,Raise your hand to ask a question.,要問問題時請舉手。
leg,腿,I hurt my leg while running.,我跑步時傷到腿了。
cat,貓,My cat sleeps all day.,我家的貓整天都在睡覺。
dog,狗,The dog is barking outside.,那隻狗在外面叫。
bird,鳥,A bird is singing in the tree.,樹上有一隻鳥在唱歌。
bear,熊,The bear in the zoo is big.,動物園裡的熊很大隻。
duck,鴨,Look at the duck in the pond.,看池塘裡的那隻鴨子。
chicken,雞,My grandma raises chickens.,我奶奶養了幾隻雞。
mouse,老鼠,A mouse ran across the floor!,有一隻老鼠跑過地板！
yellow,黃色,I have a yellow T-shirt.,我有一件黃色的T恤。
pink,粉紅色,She likes her pink shoes.,她喜歡她的粉紅色鞋子。
black,黑色,The cat is black and fluffy.,那隻貓是黑色的而且毛茸茸。
white,白色,My shoes are white and clean.,我的鞋子是白色的而且很乾淨。
face,臉,Wash your face every morning.,每天早上要洗臉。
eye,眼睛,I see with my eyes.,我用眼睛看東西。
nose,鼻子,His nose is small and cute.,他的鼻子又小又可愛。
ear,耳朵,"Cover your ears, it's loud!",摀住你的耳朵，好吵！
mouth,嘴巴,Don’t talk with your mouth full.,嘴巴有食物時不要說話。
head,頭,He hit his head on the door!,他撞到門了，頭好痛！
hair,頭髮,She brushes her long hair.,她梳她的長頭髮。
hand,手,Raise your hand to ask a question.,要問問題時請舉手。
leg,腿,I hurt my leg while running.,我跑步時傷到腿了。
cat,貓,My cat sleeps all day.,我家的貓整天都在睡覺。
dog,狗,The dog is barking outside.,那隻狗在外面叫。
bird,鳥,A bird is singing in the tree.,樹上有一隻鳥在唱歌。
bear,熊,The bear in the zoo is big.,動物園裡的熊很大隻。
duck,鴨,Look at the duck in the pond.,看池塘裡的那隻鴨子。
chicken,雞,My grandma raises chickens.,我奶奶養了幾隻雞。
mouse,老鼠,A mouse ran across the floor!,有一隻老鼠跑過地板！
pig,豬,The pig is rolling in the mud.,那隻豬在泥巴裡打滾。
rabbit,兔子,I saw a rabbit in the garden.,我在花園裡看到一隻兔子。
fox,狐狸,The fox ran into the forest.,狐狸跑進森林裡了。
lion,獅子,The lion is the king of animals.,獅子是萬獸之王。
tiger,老虎,The tiger has black stripes.,老虎身上有黑色條紋。
sheep,羊,The sheep is eating grass.,那隻羊正在吃草。
monkey,猴子,The monkey is climbing a tree.,猴子正在爬樹。
elephant,大象,The elephant has a long trunk.,大象有一條長長的鼻子。
horse,馬,He is riding a brown horse.,他正在騎一匹棕色的馬。
frog,青蛙,The frog jumps into the water.,青蛙跳進水裡了。
ant,螞蟻,An ant is carrying food.,一隻螞蟻正在搬食物。
bee,蜜蜂,A bee is flying near the flower.,一隻蜜蜂在花旁飛舞。
snake,蛇,The snake is hiding in the grass.,蛇藏在草叢裡。
pet,寵物,My pet is a little hamster.,我的寵物是一隻小倉鼠。
animal,動物,I love all kinds of animals.,我喜歡各種各樣的動物。
my,我的,My bag is on the chair.,我的包包在椅子上。
your,你的,Your shoes are very cool.,你的鞋子好酷喔。
his,他的,His bike is new and fast.,他的腳踏車又新又快。
her,她的,Her dress is pink and pretty.,她的洋裝是粉紅色的，好漂亮。
its,牠的,The dog is chasing its tail.,那隻狗在追自己的尾巴。
our,我們的,Our teacher is very nice.,我們的老師非常親切。
their,他們的,Their house is big and clean.,他們的房子又大又乾淨。
is,是,She is a good student.,她是一個好學生。
no,不,"No, I don’t want that.",不要，我不想要那個。
not,不,This is not my book.,這不是我的書。
good,好,This cake tastes really good!,這個蛋糕真的很好吃！
doctor,醫生,My mom is a doctor.,我媽媽是醫生。
nurse,護士,The nurse helped me feel better.,護士讓我感覺好多了。
singer,歌手,He wants to be a singer.,他想當一位歌手。
actor,演員,My favorite actor is funny.,我最喜歡的演員很好笑。
chef,廚師,The chef cooked a tasty meal.,那位廚師煮了一頓好吃的飯。
driver,駕駛員,The driver stopped the bus.,司機停了公車。
engineer,工程師,Her dad is an engineer.,她爸爸是工程師。
farmer,農夫,The farmer works in the field.,那位農夫在田裡工作。
worker,工人,The worker fixed the road.,工人修好了馬路。
name,名字,What is your name?,你叫什麼名字？
mr.,先生,Mr. Chen is our math teacher.,陳老師是我們的數學老師。
mrs.,太太,Mrs. Wang is very kind.,王太太人很好。
fruit,水果,I eat fruit every day.,我每天都吃水果。
apple,蘋果,This apple is sweet and red.,這顆蘋果又甜又紅。
pear,梨子,I ate a sweet pear today.,我今天吃了一顆甜甜的梨子。
peach,桃子,This peach is soft and juicy.,這顆桃子又軟又多汁。
grape,葡萄,He packed grapes in his lunchbox.,他把葡萄放進了便當盒裡。
banana,香蕉,Monkeys love to eat bananas.,猴子喜歡吃香蕉。
water,水,Drink more water when it's hot.,天氣熱的時候要多喝水。
milk,牛奶,I drink a glass of milk every night.,我每天晚上都喝一杯牛奶。
cola,可口可樂,He opened a can of cola.,他打開了一罐可樂。
juice,果汁,Would you like some orange juice?,你想喝點柳橙汁嗎？
coffee,咖啡,My dad drinks coffee in the morning.,我爸爸早上會喝咖啡。
tea,茶,She made a cup of hot tea.,她泡了一杯熱茶。
egg,蛋,I had a boiled egg for breakfast.,我早餐吃了一顆水煮蛋。
cake,蛋糕,We shared a chocolate cake.,我們一起吃了一塊巧克力蛋糕。
fish,魚；魚肉,The fish was fresh and tasty.,這條魚又新鮮又好吃。
rice,米；米飯,I like to eat rice with vegetables.,我喜歡配菜吃白飯。
breakfast,早餐,We had toast and eggs for breakfast.,我們早餐吃吐司和雞蛋。
lunch,午餐,Let's eat lunch together.,我們一起吃午餐吧。
dinner,晚餐,Dinner is ready!,晚餐好了！
eat,吃,Don't forget to eat your vegetables.,別忘了吃你的青菜。
drink,喝；飲料,She wants to drink some juice.,她想喝點果汁。
sleep,睡,I usually sleep at 10 p.m.,我通常晚上十點睡覺。
see,看,I see a bird in the sky.,我看到天上的一隻鳥。
tall,高的,He is a tall basketball player.,他是個高高的籃球員。
long,長的,She has long hair.,她有長頭髮。
short,短的；矮的,This pencil is short.,這支鉛筆很短。
big,大的,They live in a big house.,他們住在一間大房子裡。
small,小的,I have a small dog.,我有一隻小狗。
good,好的,This pizza tastes good.,這個披薩很好吃。
bad,壞的,That was a bad idea.,那是個壞主意。
nice,美好的,She is a nice person.,她是個好人。
happy,快樂的,The children look happy.,孩子們看起來很快樂。
sad,傷心的,He felt sad after the movie.,看完電影後他覺得難過。
fat,肥胖的,The cat is fat and lazy.,那隻貓又胖又懶。
thin,瘦的；薄的,He is tall and thin.,他又高又瘦。
strong,強壯的,She is very strong.,她很強壯。
cute,可愛的,That baby is so cute!,那個寶寶好可愛！
sick,生病的,I feel sick today.,我今天覺得不舒服。
tired,疲倦的,He was tired after running.,他跑步後覺得累。
angry,憤怒的,Dad is angry with me.,爸爸在生我的氣。
hungry,餓的,We are hungry now.,我們現在肚子餓了。
thirsty,渴的,I'm thirsty. Can I have water?,我口渴了，可以給我水嗎？
aunt,阿姨,My aunt is visiting us this weekend.,我阿姨這個週末要來我們家。
uncle,叔叔,My uncle can play the guitar well.,我叔叔很會彈吉他。
cousin,堂/表兄弟姊妹,My cousin and I play video games together.,我和我表哥一起玩電動。
parent,父(母)親,Every parent loves their children.,每個父母都愛自己的孩子。
family,家庭；家人,I have a big and happy family.,我有一個又大又幸福的家庭。
live,住,We live in a small town.,我們住在一個小鎮上。
food,食物,My favorite food is pizza.,我最喜歡的食物是披薩。
beef,牛肉,Beef is used in hamburgers.,漢堡裡有牛肉。
pork,豬肉,She doesn't eat pork.,她不吃豬肉。
soup,湯,Chicken soup is good for a cold.,感冒時喝雞湯很好。
hot dog,熱狗,I had a hot dog at the park.,我在公園吃了一根熱狗。
sandwich,三明治,He made a tuna sandwich.,他做了一個鮪魚三明治。
tomato,番茄,I added tomato to my salad.,我在沙拉裡加了番茄。
orange,柳橙,Would you like an orange?,你想要一顆柳橙嗎？
vegetable,蔬菜,We eat vegetables every day.,我們每天吃蔬菜。
bread,麵包,She baked fresh bread.,她烤了新鮮的麵包。
pie,派,Apple pie is my grandma’s favorite.,蘋果派是我奶奶最愛的。
pizza,披薩,We ordered a large pizza.,我們點了一個大披薩。
ice cream,冰淇淋,The kids love ice cream.,孩子們愛吃冰淇淋。
candy,糖果,Don't eat too much candy.,不要吃太多糖果。
cookie,餅乾,I love eating cookies after dinner.,我喜歡晚餐後吃餅乾。
hamburger,漢堡,He ate a big hamburger for lunch.,他午餐吃了一個大漢堡。
swim,游泳,Can you swim in the deep pool?,你能在深水池裡游泳嗎？
dance,跳舞,She loves to dance in her room.,她喜歡在房間裡跳舞。
run,跑,We run every morning.,我們每天早上跑步。
jump,跳,The boy can jump very high.,那個男孩跳得很高。
sing,唱,Let’s sing our favorite song!,我們一起唱最喜歡的歌吧！
fly,飛,The bird can fly over the trees.,鳥可以飛過樹林。
can,可以,"Can you help me, please?",你可以幫我一下嗎？
have,有；吃,We have two dogs at home.,我們家有兩隻狗。
ride,騎,She can ride a bike.,她會騎腳踏車。
drive,駕駛；開車,My dad drives to work every day.,我爸爸每天開車上班。
walk,走,I walk to school every day.,我每天走路上學。
take,拿；搭乘,I take the bus to school.,我搭公車去上學。
write,寫,He writes in his notebook.,他在筆記本上寫字。
study,學習；讀書,They study English every night.,他們每天晚上學英文。
do,做,Let’s do our homework now.,我們現在來寫作業吧。
make,做；製作,We will make a card for Mom.,我們要做一張卡片送媽媽。
game,遊戲；比賽,That was a fun game!,那是一個好玩的遊戲！
computer game,電腦遊戲,I play computer games on weekends.,我週末玩電腦遊戲。
card,卡片,I got a birthday card from my friend.,我收到朋友的生日卡片。
piano,鋼琴,She plays the piano beautifully.,她鋼琴彈得很美。
guitar,吉他,He can play the guitar.,他會彈吉他。
song,歌曲,Let’s sing a happy song.,我們來唱一首快樂的歌。
ball,球,They are playing with a ball.,他們正在玩球。
baseball,棒球,My brother plays baseball.,我哥哥打棒球。
basketball,籃球,Do you want to play basketball?,你想打籃球嗎？
soccer,足球,Soccer is my favorite sport.,足球是我最喜歡的運動。
kite,風箏,She is flying a kite in the park.,她正在公園放風箏。
doll,娃娃,The girl has a new doll.,那個女孩有一個新娃娃。
spring,春天,Spring is a season of flowers.,春天是開花的季節。
summer,夏天,Summer is hot and sunny.,夏天很熱而且很晴朗。
autumn,秋天,Leaves fall in autumn.,秋天樹葉會落下。
winter,冬天,Winter is cold and snowy.,冬天很冷又常下雪。
sun,太陽,The sun is shining today.,今天陽光普照。
moon,月亮,The moon looks big tonight.,今晚的月亮看起來好大。
star,星星,I can see many stars.,我可以看到很多星星。
rain,雨,It started to rain outside.,外面開始下雨了。
hot,熱的,It is very hot in July.,七月非常熱。
cold,冷的,I wear a jacket when it’s cold.,天氣冷時我會穿外套。
outside,外的,The kids are playing outside.,孩子們正在外面玩。
outside of,在…外側,The dog is outside of the house.,狗在房子的外面。
by,根據,He goes to school by bus,他搭公車去學校。
for,為了,I made this gift for you.,我做這個禮物是為了你。
toward,向；往,He ran toward the bus.,他朝著公車跑去。
with,與；用…,I go to school with my sister.,我和我妹妹一起上學。
and,和；而且,I like apples and bananas.,我喜歡蘋果和香蕉。
but,但是,I like tea but not coffee.,我喜歡茶，但不喜歡咖啡。
clothes,衣服,My clothes are in the closet.,我的衣服在衣櫃裡。
coat,大衣,I wear a coat in winter.,冬天我會穿大衣。
jacket,夾克,She is wearing a red jacket.,她穿著紅色的外套。
pants,褲子,I bought new pants yesterday.,我昨天買了新褲子。
t-shirt,T恤,He is wearing a blue T-shirt.,他穿著藍色的T恤。
shorts,短褲,They play soccer in shorts.,他們穿短褲踢足球。
skirt,裙子,She wore a skirt to the party.,她穿裙子去參加派對。
shirt,襯衫,My dad wears a shirt to work.,我爸爸上班穿襯衫。
dress,洋裝,Her dress is very pretty.,她的洋裝很漂亮。
socks,(短)襪子,I wear socks with my shoes.,我穿鞋時會穿襪子。
shoes,鞋子,These shoes are too small.,這雙鞋太小了。
comb,梳子 動梳,I use a comb every morning.,我每天早上用梳子。
bag,袋子；提袋,She carries a bag to school.,她帶著一個袋子去學校。
hat,帽子(有邊的),He wears a hat in the sun.,他在陽光下戴帽子。
umbrella,雨傘,I take an umbrella when it rains.,下雨時我會帶雨傘。
body,身體,The human body is amazing.,人體很神奇。
tooth,牙齒,Brush your teeth twice a day.,每天刷兩次牙齒。
back,背部,My back hurts after lifting boxes.,搬完箱子後我背部痛。
neck,脖子,He wore a scarf around his neck.,他圍著圍巾在脖子上。
lip,唇,Her lips are red.,她的嘴唇是紅色的。
finger,手指頭,Show me your finger.,把你的手指給我看。
foot,腳；足,My foot is sore.,我腳很痛。
day,天；日子,Today is a sunny day.,今天是晴天。
Monday,星期一,School starts on Monday.,學校星期一開始上課。
Tuesday,星期二,We have PE on Tuesday.,我們星期二上體育課。
Wednesday,星期三,My birthday is on Wednesday.,我的生日在星期三。
Thursday,星期四,We eat noodles on Thursday.,我們星期四吃麵。
Friday,星期五,I watch movies on Friday.,我星期五看電影。
Saturday,星期六,We go shopping on Saturday.,我們星期六去購物。
Sunday,星期日,We visit grandma on Sunday.,我們星期日去看奶奶。
week,週；一星期,There are seven days in a week.,一週有七天。
weekend,週末,I rest at home on the weekend.,我週末在家休息。
month,月,My birthday is next month.,我下個月生日。
year,年,A year has twelve months.,一年有十二個月。
morning,早晨；上午,I eat breakfast in the morning.,我早上吃早餐。
afternoon,午後,We play outside in the afternoon.,我們下午在外面玩。
evening,傍晚；晚上,We have dinner in the evening.,我們傍晚吃晚餐。
night,夜；晚上,I go to bed at night.,我晚上上床睡覺。
today,今天,Today is my lucky day.,今天是我的幸運日。
tonight,今天晚上,I will study tonight.,我今晚會讀書。
tomorrow,明天,We will go hiking tomorrow.,我們明天要去爬山。
yesterday,昨天,It rained yesterday.,昨天有下雨。
time,時間；期間,Time goes fast when you’re happy.,快樂時光過得特別快。
o’clock,…點鐘,It’s 3 o’clock now.,現在是三點鐘。
a.m.,上午,I wake up at 7 a.m.,我早上七點起床。
p.m.,下午,School ends at 4 p.m.,學校下午四點放學。
now,現在,I’m doing my homework now.,我現在正在寫功課。
last,最後的 最後地,"Last night, I had a strange dream.",昨晚我做了一個奇怪的夢。
late,晚的 晚地,We are late for school.,我們上學遲到了。
next,下個 下次的,Next week is a holiday.,下週是放假。
classroom,教室,The classroom is very clean.,教室很乾淨。
classmate,同學,My classmate is very helpful.,我的同學很樂於助人。
blackboard,黑板,The teacher writes on the blackboard.,老師在黑板上寫字。
notebook,筆記本,I write notes in my notebook.,我在筆記本裡寫筆記。
paper,紙,Can I have a piece of paper?,可以給我一張紙嗎？
picture,圖畫,I drew a picture of my dog.,我畫了一張我狗狗的畫。
English,英文,I study English every day.,我每天學英文。
Chinese,中文；中國人,He speaks Chinese very well.,他中文講得很好。
math,數學,Math is my favorite subject.,數學是我最喜歡的科目。
PE,體育,We play basketball in PE class.,我們在體育課打籃球。
hi,嗨,Hi! How are you?,嗨！你好嗎？
hello,哈囉,"Hello, my name is Amy.",哈囉，我叫艾咪。
goodbye,再見,Goodbye! See you tomorrow.,再見！明天見。
speak,說；演說,I can speak English and Chinese.,我會說英文和中文。
say,說,What did you say?,你剛剛說什麼？
ask,問,I want to ask a question.,我想問一個問題。
answer,回答；答案,I know the answer.,我知道答案。
talk,說話,Let’s talk after class.,我們下課後聊。
question,問題,I have a question.,我有一個問題。
draw,畫,I like to draw animals.,我喜歡畫動物。
wear,穿,I wear a jacket in winter.,我冬天穿外套。
clean,打掃；乾淨的,I clean my room every week.,我每週打掃房間。
wash,洗,I wash my hands before eating.,吃飯前我會洗手。
meet,遇見,It's nice to meet you.,很高興認識你。
come,過來,"Come here, please.",請過來。
want,想要,I want some juice.,我想喝果汁。
help,幫助,Can you help me?,你可以幫我嗎？
use,使用,I use a pencil to draw.,我用鉛筆畫畫。
new,新的,I have a new bag.,我有一個新書包。
old,年老的,This is my old toy.,這是我以前的玩具。
fast,快速的,The train is very fast.,火車很快。
slow,慢的,The turtle is slow.,烏龜走得慢。
pretty,漂亮的,Your dress is so pretty!,你的洋裝好漂亮！
handsome,英俊的,He is a handsome man.,他是一位英俊的男子。
smart,聰明的,My dog is smart.,我的狗很聰明。
nice,美好的,She is a nice person.,她是個好人。
fun,樂趣,This game is so much fun!,這個遊戲好好玩！
great,很棒的,This pizza is great.,這披薩好好吃。
boring,乏味的,This movie is boring.,這部電影很無聊。
some,一些,I want some cookies.,我想吃一些餅乾。
very,非常；很,He is very tall.,他非常高。
too,也；太,She is too tired.,她太累了。
house,房子；房屋,My house is white.,我家是白色的。
living room,客廳,We watch TV in the living room.,我們在客廳看電視。
kitchen,廚房,Mom is cooking in the kitchen.,媽媽在廚房煮飯。
bedroom,寢室,I sleep in the bedroom.,我在臥室睡覺。
bathroom,浴室,The bathroom is clean.,浴室很乾淨。
door,門,"Close the door, please.",請關門。
home,家,I want to go home.,我想回家。
room,房間,This is my room.,這是我的房間。
wall,牆壁,I hang a picture on the wall.,我把畫掛在牆上。
bed,床,I lie on my bed.,我躺在床上。
toy,玩具,I have many toys.,我有很多玩具。
window,窗戶,Open the window.,打開窗戶。
TV,電視,I watch cartoons on TV.,我看卡通。
telephone,電話,I talk to Grandma on the telephone.,我用電話跟奶奶講話。
fan,風扇,Turn on the fan.,打開風扇。
sofa,沙發,I sit on the sofa.,我坐在沙發上。
key,鎖匙,Where is the key?,鑰匙在哪？
plate,盤子；碟子,I put food on the plate.,我把食物放在盤子上。
bowl,碗,I eat soup from a bowl.,我用碗喝湯。
chopsticks,筷子,I eat rice with chopsticks.,我用筷子吃飯。
cup,杯子,I drink tea from a cup.,我用杯子喝茶。
glass,玻璃杯,He drinks water from a glass.,他用玻璃杯喝水。
zoo,動物園,We went to the zoo yesterday.,我們昨天去了動物園。
park,公園,Let’s play at the park.,我們去公園玩吧。
farm,農場,We saw cows on the farm.,我們在農場看到牛。
shop,店舖,She works in a flower shop.,她在花店工作。
bookstore,書店,I bought a book at the bookstore.,我在書店買了書。
hospital,醫院,My dad works at a hospital.,我爸爸在醫院工作。
bank,銀行,We are going to the bank.,我們要去銀行。
library,圖書館,He reads books at the library.,他在圖書館看書。
supermarket,超級市場,Mom shops at the supermarket.,媽媽在超市買東西。
Taiwan,台灣,I live in Taiwan.,我住在台灣。
USA,美國,My uncle lives in the USA.,我叔叔住在美國。
flower,花,This flower is beautiful.,這朵花很漂亮。
tree,樹,A bird is in the tree.,一隻鳥在樹上。
travel,旅遊,I love to travel.,我喜歡旅遊。
dream,夢想,My dream is to be a teacher.,我的夢想是當老師。
MRT,捷運,I take the MRT to school.,我搭捷運上學。
hundred,一百(的),He has one hundred dollars.,他有一百元。
dollar,元,This toy costs ten dollars.,這個玩具十元。
