english,chinese,example_en,example_ch
something,某事；某物,I have something to tell you.,我有事要告訴你。
play,玩；比賽,Let's play basketball.,我們來打籃球吧。
sport,運動,Soccer is my favorite sport.,足球是我最喜歡的運動。
run,跑,He runs every morning.,他每天早上都跑步。
jump,跳,The cat can jump high.,這隻貓可以跳得很高。
swim,游泳,I can swim in the pool.,我可以在游泳池裡游泳。
ball,球,Throw me the ball.,把球丟給我。
game,遊戲；比賽,We won the game.,我們贏得了比賽。
team,團隊,Our team is the best.,我們的團隊是最棒的。
win,贏,They want to win the game.,他們想贏得這場比賽。
lose,輸,Don't lose hope.,不要失去希望。
score,得分,He scored 10 points.,他得了10分。
goal,目標；進球,That's a great goal!,那是一個很棒的進球！
player,玩家；選手,He is a good player.,他是一個好的選手。
coach,教練,The coach is happy.,教練很高興。
practice,練習,We practice every day.,我們每天都練習.
match,比賽,The match starts at 7pm.,比賽在晚上7點開始。
field,場地,The field is green.,場地是綠色的。
teamwork,團隊合作,Teamwork is important.,團隊合作很重要。
exercise,運動；練習,I exercise every morning.,我每天早上運動。
healthy,健康的,Sports make you healthy.,運動讓你健康。
strong,強壯的,He is very strong.,他非常強壯。
fast,快的,She runs very fast.,她跑得很快。
basketball,籃球,Basketball is popular in America.,籃球在美國很受歡迎。
soccer,足球,He plays soccer after school.,他放學後踢足球。
tennis,網球,Tennis requires good reflexes.,網球需要良好的反應。
volleyball,排球,The volleyball team practiced hard.,排球隊努力練習。
baseball,棒球,Baseball is America's pastime.,棒球是美國的國民運動。
football,美式足球,Football players wear helmets.,美式足球選手戴頭盔。
golf,高爾夫,Golf is played on a course.,高爾夫在球場上進行。
swimming,游泳,Swimming is good exercise.,游泳是很好的運動。
cycling,自行車,Cycling is eco-friendly.,騎自行車很環保。
running,跑步,Running builds endurance.,跑步能建立耐力。
hiking,健行,We went hiking in the mountains.,我們去山裡健行。
climbing,攀爬,Mountain climbing is challenging.,爬山很有挑戰性。
skiing,滑雪,Skiing requires snow.,滑雪需要雪。
skating,滑冰,Ice skating is fun in winter.,滑冰在冬天很有趣。
surfing,衝浪,Surfing is popular in California.,衝浪在加州很受歡迎。
boxing,拳擊,Boxing requires strength and speed.,拳擊需要力量和速度。
wrestling,摔跤,Wrestling is an ancient sport.,摔跤是古老的運動。
martial,武術,Martial arts teach discipline.,武術教導紀律。
yoga,瑜伽,Yoga improves flexibility.,瑜伽改善柔軟度。
dance,跳舞,Dance is both art and sport.,跳舞既是藝術也是運動。
gymnastics,體操,Gymnastics requires balance.,體操需要平衡。
track,田徑,Track events include running and jumping.,田徑包括跑步和跳躍。
race,比賽,The race was very exciting.,比賽非常刺激。
marathon,馬拉松,Running a marathon is difficult.,跑馬拉松很困難.
champion,冠軍,He became the champion.,他成為了冠軍。
trophy,獎盃,The team received a trophy.,球隊獲得了獎盃。
medal,獎牌,She won a gold medal.,她贏得了金牌。
record,紀錄,He broke the world record.,他打破了世界紀錄。
competition,競賽,The competition was tough.,競賽很激烈。
tournament,錦標賽,The tennis tournament starts tomorrow.,網球錦標賽明天開始。
league,聯盟,Our team leads the league.,我們的球隊領先聯盟。
stadium,體育場,The stadium was full of fans.,體育場滿是粉絲。
audience,觀眾,The audience cheered loudly.,觀眾大聲歡呼。
fan,粉絲,I'm a big fan of this team.,我是這支球隊的鐵粉。
uniform,制服,Players wear team uniforms.,選手穿著隊服。
equipment,裝備,We need new sports equipment.,我們需要新的運動裝備.
shoes,鞋子,Running shoes are important.,跑鞋很重要。
helmet,頭盔,Cyclists wear helmets for safety.,自行車選手戴頭盔安全。
protective,保護的,Wear protective gear during sports.,運動時穿保護裝備。
safety,安全,Safety should come first.,安全第一。
injury,受傷,He recovered from his injury.,他從受傷中恢復。
training,訓練,Athletes need regular training.,運動員需要定期訓練。
fitness,健身,She goes to the fitness center.,她去健身中心。
muscle,肌肉,Exercise builds strong muscles.,運動建立強壯的肌肉。
energy,能量,Sports require a lot of energy.,運動需要很多能量。
endurance,耐力,Running builds endurance.,跑步建立耐力。
strength,力量,Weight training increases strength.,重量訓練增加力量。
flexibility,柔軟度,Yoga improves flexibility.,瑜伽改善柔軟度。
balance,平衡,Gymnastics requires good balance.,體操需要良好的平衡。
agility,敏捷,Cats have great agility.,貓有很好的敏捷性。
speed,速度,The cheetah is known for its speed.,獵豹以其速度聞名。
performance,表現,Her performance was excellent.,她的表現很出色。
skill,技能,Tennis requires good skills.,網球需要良好的技能。
technique,技巧,His swimming technique is perfect.,他的游泳技巧很完美。
strategy,策略,The coach discussed strategy.,教練討論策略。
tactics,戰術,The team changed their tactics.,球隊改變了戰術。
defense,防守,Defense is as important as offense.,防守和進攻一樣重要。
offense,進攻,The team's offense was strong.,球隊的進攻很強。
attack,攻擊,The attack was well-planned.,攻擊計畫得很好。
shoot,射擊,He can shoot three-pointers.,他可以投三分球。
pass,傳遞,Pass the ball to your teammate.,把球傳給你的隊友。
catch,接住,Can you catch the ball?,你能接住球嗎？
throw,投擲,Throw the ball to first base.,把球投到一壘。
kick,踢,He can kick the ball far.,他可以把球踢得很遠。
hit,擊打,Hit the ball with the bat.,用球棒擊球。
serve,發球,Her tennis serve is powerful.,她的網球發球很有力。
dribble,運球,Basketball players need to dribble well.,籃球選手需要很好的運球。
bounce,彈跳,The ball bounces high.,球彈得很高。
spin,旋轉,The tennis ball had spin.,網球有旋轉。
curve,曲線,The pitcher threw a curve ball.,投手投了曲線球。
straight,直線,He threw the ball straight.,他直線投球。
angle,角度,Find the right shooting angle.,找到正確的射擊角度。
position,位置,Take your position on the field.,在場地上就位。
zone,區域,Stay in your defensive zone.,待在你的防守區域。
court,球場,The basketball court is busy.,籃球場很忙。
ring,籃圈,The ball went through the ring.,球穿過籃圈。
net,網球網,Don't hit the ball into the net.,不要把球打到網上。
foul,犯規,That was a foul play.,那是犯規。
penalty,罰則,The referee gave a penalty.,裁判給了罰則。
referee,裁判,The referee made a fair call.,裁判做出了公正的判決。
judge,裁判,The judges gave high scores.,裁判給了高分。
scoreboard,計分板,Look at the scoreboard.,看計分板。
timer,計時器,The timer showed 10 seconds.,計時器顯示10秒。
whistle,哨子,The referee blew the whistle.,裁判吹了哨子。
flag,旗幟,The linesman raised his flag.,線審舉起了旗幟。
cheer,歡呼,The crowd began to cheer.,群眾開始歡呼。
victory,勝利,Victory tastes sweet.,勝利滋味甜美。
defeat,失敗,Learn from defeat.,從失敗中學習。
effort,努力,Your effort will pay off.,你的努力會有回報。
determination,決心,Success requires determination.,成功需要決心。
courage,勇氣,It takes courage to compete.,競賽需要勇氣。
spirit,精神,Team spirit is important.,團隊精神很重要。
passion,熱情,He plays with great passion.,他充滿熱情地比賽。
enthusiasm,熱心,Her enthusiasm is contagious.,她的熱情很有感染力。
inspiration,靈感,Athletes inspire others.,運動員激勵他人。
role,角色,He is a role model for kids.,他是孩子的榜樣。
model,模範,Be a good sports model.,做個好的運動模範。
hero,英雄,He is a sports hero.,他是運動英雄。
legend,傳奇,Michael Jordan is a basketball legend.,麥可喬丹是籃球傳奇。
professional,專業的,She is a professional athlete.,她是職業運動員。
amateur,業餘的,He started as an amateur player.,他從業餘選手開始。
career,生涯,His sports career was successful.,他的運動生涯很成功。
retire,退休,He will retire next year.,他明年將退休。
future,未來,The future looks bright.,未來看起來很光明。
dream,夢想,His dream is to win the Olympics.,他的夢想是贏得奧運。
